Name,Surname,Age,GPA,Course,Hobby,Scholarship,Have Retakes,Email
Sylvie,Fennick,18,3.08,Information Security,Baking,No,Yes,sylvie.fennick@innopolis.university
Elira,Vaylen,22,3.22,Data Science,Hiking,Yes,Yes,elira.vaylen@innopolis.university
Casen,Corven,20,3.26,Information Security,Hiking,No,Yes,casen.corven@innopolis.university
Tavian,Fennick,20,4.26,AI Engineering,,No,No,tavian.fennick@innopolis.university
Selene,Vaylen,25,,Cybersecurity,Baking,No,No,selene.vaylen@innopolis.university
Sylvie,Halden,24,3.88,Robotics,Archery,Yes,No,sylvie.halden@innopolis.university
Jalen,Dorin,24,4.03,Robotics,Violin,Yes,No,jalen.dorin@innopolis.university
Selene,Drelor,21,4.35,Computer Science,Violin,,No,selene.drelor@innopolis.university
Nira,Trell,24,2.26,Information Security,Painting,No,Yes,nira.trell@innopolis.university
Mira,Voss,21,4.12,Cybersecurity,Cycling,Yes,No,mira.voss@innopolis.university
Selene,Senn,19,2.88,Computer Science,Chess,Yes,Yes,selene.senn@innopolis.university
Tavian,Voss,24,4.71,Mathematics,Hiking,Yes,No,tavian.voss@innopolis.university
Kael,Thornwell,25,3.44,Mathematics,Cycling,Yes,Yes,kael.thornwell@innopolis.university
Varek,Fennick,24,2.03,Computer Science,Archery,No,Yes,varek.fennick@innopolis.university
Lira,Kaelen,25,3.81,Computer Vision,Gaming,Yes,No,lira.kaelen@innopolis.university
Aylen,Corven,24,3.95,Mathematics,Rock Climbing,No,No,aylen.corven@innopolis.university
Bram,Korrin,23,4.25,Computer Vision,Coding,No,No,bram.korrin@innopolis.university
Casen,Ravick,19,3.82,AI Engineering,Painting,No,No,casen.ravick@innopolis.university
Kiora,Kaelen,24,2.49,Robotics,Gaming,,Yes,kiora.kaelen@innopolis.university
Lira,Halden,20,3.08,Data Science,Coding,No,Yes,lira.halden@innopolis.university
Eron,Vaylen,24,2.22,Cybersecurity,Rock Climbing,No,Yes,eron.vaylen@innopolis.university
Bram,Trell,19,4.86,Information Security,Gymnastics,No,No,bram.trell@innopolis.university
Kael,Voss,24,4.74,Mathematics,Coding,Yes,No,kael.voss@innopolis.university
Doran,Ravick,19,2.65,Robotics,Chess,Yes,Yes,doran.ravick@innopolis.university
Aylen,Senn,18,4.94,Software Engineering,Piano,No,No,aylen.senn@innopolis.university
Bram,Quorin,20,2.19,Robotics,Hiking,Yes,Yes,
Kiora,Malric,24,4.38,Data Science,Writing,Yes,No,kiora.malric@innopolis.university
Selene,Voss,25,2.19,Information Security,Violin,Yes,Yes,selene.voss@innopolis.university
Elira,Drelor,22,2.28,Software Engineering,Hiking,Yes,Yes,elira.drelor@innopolis.university
Elira,Voss,23,3.29,Mathematics,Coding,Yes,Yes,elira.voss@innopolis.university
Zora,Mavren,21,3.23,AI Engineering,,Yes,Yes,zora.mavren@innopolis.university
Jalen,Vaylen,22,3.42,Software Engineering,Photography,No,Yes,jalen.vaylen@innopolis.university
Nyra,Malric,18,,Mathematics,Gymnastics,No,No,nyra.malric@innopolis.university
